"exchange","exchange_token","trading_symbol","groww_symbol","name","instrument_type","segment","series","isin","underlying_symbol","underlying_exchange_token","expiry_date","strike_price","lot_size","tick_size","freeze_quantity","is_reserved","buy_allowed","sell_allowed","internal_trading_symbol","is_intraday"
"NSE",12153,"BBTCL","NSE-BBTCL","B & B Triplewall","EQ","CASH","EQ","INE01EE01011",,,,,1,0.01,,,1,1,"BBTCL-EQ",0
"NSE",4822,"DODLA","NSE-DODLA","Dodla Dairy","EQ","CASH","EQ","INE021O01019",,,,,1,0.1,,,1,1,"DODLA-EQ",0
"NSE",759847,"SHILCTECH","NSE-SHILCTECH","Shilchar Tech","EQ","CASH","EQ","INE024F01011",,,,,1,0.1,,,1,1,"SHILCTECH-EQ",0
"NSE",30455,"SPECTRUM","NSE-SPECTRUM","Spectrum Electrical","EQ","CASH","EQ","INE01EO01010",,,,,1,0.1,,,1,1,"SPECTRUM-EQ",0
"NSE",1247,"GSFC","NSE-GSFC","GSFC","EQ","CASH","EQ","INE026A01025",,,,,1,0.01,,,1,1,"GSFC-EQ",0
"NSE",13794,"BAIDFIN","NSE-BAIDFIN","Baid Leasing & Fin","EQ","CASH","EQ","INE020D01022",,,,,1,0.01,,,1,1,"BAIDFIN-EQ",0
"NSE",11731,"CONSOFINVT","NSE-CONSOFINVT","Consolidated Finvest","EQ","CASH","EQ","INE025A01027",,,,,1,0.01,,,1,1,"CONSOFINVT-EQ",0
"NSE",16705,"GOKUL","NSE-GOKUL","Gokul Refoils","EQ","CASH","EQ","INE020J01029",,,,,1,0.01,,,1,1,"GOKUL-EQ",0
"NSE",13730,"INSPIRISYS","NSE-INSPIRISYS","Inspirisys Solutions","EQ","CASH","EQ","INE020G01017",,,,,1,0.01,,,1,1,"INSPIRISYS-EQ",0
"NSE",28764,"CEWATER","NSE-CEWATER","Concord Enviro Sys.","EQ","CASH","EQ","INE037Z01029",,,,,1,0.05,,,1,1,"CEWATER-EQ",0
"NSE",22477,"NOVAAGRI","NSE-NOVAAGRI","Nova Agritech","EQ","CASH","EQ","INE02H701025",,,,,1,0.01,,,1,1,"NOVAAGRI-EQ",0
"NSE",13689,"AERONEU","NSE-AERONEU","Aeroflex Neu","EQ","CASH","EQ","INE035801013",,,,,1,0.01,,,1,1,"AERONEU-EQ",0
"NSE",3021,"SOTL","NSE-SOTL","Savita Oil Tech","EQ","CASH","EQ","INE035D01020",,,,,1,0.05,,,1,1,"SOTL-EQ",0
"NSE",193,"ARVIND","NSE-ARVIND","Arvind","EQ","CASH","EQ","INE034A01011",,,,,1,0.05,,,1,1,"ARVIND-EQ",0
"NSE",3727,"ANMOL","NSE-ANMOL","Anmol India","EQ","CASH","EQ","INE02AR01019",,,,,1,0.01,,,1,1,"ANMOL-EQ",0
"NSE",19401,"BOROLTD","NSE-BOROLTD","Borosil","EQ","CASH","EQ","INE02PY01013",,,,,1,0.05,,,1,1,"BOROLTD-EQ",0
"NSE",14101,"PTL","NSE-PTL","PTL Enterprises","EQ","CASH","EQ","INE034D01049",,,,,1,0.01,,,1,1,"PTL-EQ",0
"NSE",11275,"TVTODAY","NSE-TVTODAY","TV Today Network","EQ","CASH","EQ","INE038F01029",,,,,1,0.01,,,1,1,"TVTODAY-EQ",0
